Trial,Word,Color,Timestamp,Marker
1,ice,#F1E05C,1741036720.5621724,1
2,kite,#E7342F,1741036723.161119,2
3,carrot,#F1E05C,1741036725.7557404,3
4,umbrella,#E7342F,1741036728.3446958,4
5,queen,#F1E05C,1741036730.9279747,5
6,elephant,#E7342F,1741036733.513618,6
7,xylophone,#F1E05C,1741036736.1117296,7
8,banana,#E7342F,1741036738.714106,8
9,grape,#F1E05C,1741036741.3233166,9
10,drawer,#E7342F,1741036743.9145606,10
11,zebra,#F1E05C,1741036746.523051,11
12,house,#E7342F,1741036749.1146317,12
13,tissue,#F1E05C,1741036751.712401,13
14,sink,#E7342F,1741036754.3145928,14
15,yacht,#F1E05C,1741036756.897582,15
16,rabbit,#E7342F,1741036759.5144048,16
17,violin,#F1E05C,1741036762.0984125,17
18,snake,#E7342F,1741036764.7146945,18
19,dog,#F1E05C,1741036767.3145883,19
20,orange,#E7342F,1741036769.9145477,20
21,jacket,#F1E05C,1741036772.5139756,21
22,mango,#E7342F,1741036775.0982165,22
23,nest,#F1E05C,1741036777.6983912,23
24,apple,#E7342F,1741036780.2978747,24
25,fish,#F1E05C,1741036782.9092684,25
26,tiger,#E7342F,1741036785.5149453,26
27,lemon,#F1E05C,1741036788.090535,27
28,pear,#E7342F,1741036790.6754704,28
29,whale,#F1E05C,1741036793.2601302,29
30,cap,#E7342F,1741036795.8466184,30
